###PSK Key tested : f4ce3dce93bbd4566ab194445f435d29f0e735291e863d8bb23746c5f324a279 

dieharder -a -f diehard_test
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                    diehard_test|  1.94e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  21|   1000000|     100|0.57402668|  PASSED
      rgb_lagged_sum|  22|   1000000|     100|0.99396117|  PASSED
      rgb_lagged_sum|  23|   1000000|     100|0.59422164|  PASSED
      rgb_lagged_sum|  24|   1000000|     100|0.75064938|  PASSED
      rgb_lagged_sum|  25|   1000000|     100|0.54381832|  PASSED
      rgb_lagged_sum|  26|   1000000|     100|0.96352824|  PASSED
      rgb_lagged_sum|  27|   1000000|     100|0.99931007|   WEAK
      rgb_lagged_sum|  28|   1000000|     100|0.73486030|  PASSED
      rgb_lagged_sum|  29|   1000000|     100|0.84255722|  PASSED
      rgb_lagged_sum|  30|   1000000|     100|0.95040976|  PASSED
      rgb_lagged_sum|  31|   1000000|     100|0.53904439|  PASSED
      rgb_lagged_sum|  32|   1000000|     100|0.69954647|  PASSED
     rgb_kstest_test|   0|     10000|    1000|0.46780362|  PASSED
     dab_bytedistrib|   0|  51200000|       1|0.71476811|  PASSED
             dab_dct| 256|     50000|       1|0.81367637|  PASSED
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.85463541|  PASSED
        dab_filltree|  32|  15000000|       1|0.93902628|  PASSED
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.97031307|  PASSED
       dab_filltree2|   1|   5000000|       1|0.64737323|  PASSED
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.38002843|  PASSED

